,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
responden 472,4,2,2,3,2,4,0,3
responden 473,3,3,2,4,2,2,1,2
responden 474,4,3,4,4,4,4,1,3
responden 475,3,3,3,4,2,4,1,2
responden 476,3,3,3,4,2,3,1,3
responden 477,3,3,2,4,3,2,1,3
responden 478,3,3,3,3,2,4,1,2
responden 479,4,4,1,3,2,3,1,3
responden 480,3,4,2,4,2,2,0,2
responden 481,4,1,1,3,3,3,1,3
responden 482,4,3,3,4,4,4,0,3
responden 483,3,3,3,3,3,3,1,2
responden 484,4,3,3,3,3,3,1,4
responden 485,3,3,1,4,2,3,2,3
responden 486,3,1,1,3,2,2,3,4
responden 487,3,3,2,4,4,4,2,2
responden 488,3,1,2,4,3,4,1,3
responden 489,3,1,3,4,1,4,1,4
responden 490,3,3,2,3,1,3,1,3
responden 491,4,3,1,3,3,3,1,3
responden 492,4,3,3,4,1,4,1,2
responden 493,3,3,1,4,3,4,0,3
responden 494,3,3,3,4,4,4,3,2
responden 495,3,1,1,4,2,3,1,3
responden 496,3,2,2,4,4,3,1,1
responden 497,4,4,4,4,4,4,0,4
responden 498,4,4,4,4,1,4,1,4
responden 499,3,1,1,3,1,3,1,3
responden 500,3,1,1,2,2,2,2,2
